dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.0,4096,1,4,20,8,1,0,log/ogbn-arxivbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8733392635946036,0.8992287731950558,0.8474497539941515
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.0,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.834555642428981,0.8065624185561636,0.8625488663017984
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.0,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8137509180568672,0.6870380862448852,0.9404637498688492
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.0,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9575185262680684,0.94627190458754,0.9687651479485972
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.1,4096,1,4,20,8,1,0,log/ogbn-arxivbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8812145806676748,0.9014362609151704,0.8609929004201792
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.1,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8629033098775085,0.8268855876987229,0.898921032056294
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,0.1,4096,1,4,256,8,1,0,log/Citeseerbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8217081103766657,0.7006316231245409,0.9427845976287904
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,0.2,4096,1,4,20,8,1,0,log/ogbn-arxivbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.890097568715321,0.9087265927118598,0.871468544718782
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,0.2,4096,1,4,256,8,1,0,log/Corabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8646312223090957,0.8126035965598122,0.9166588480583788
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,0.1,4096,1,4,256,8,1,0,log/Pubmedbs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9626041394221548,0.9512444421195794,0.9739638367247302
