dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc,run_idx
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,5,4,20,8,1,0,log/ogbn-arxivfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9179793139793768,0.9307155596913652,0.9052430682673882,0
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,5,4,256,8,1,0,log/Corafinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8874771957258274,0.8294136043784207,0.9455407870732342,0
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,5,4,256,8,1,0,log/Citeseerfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8787577379078797,0.782864337425244,0.9746511383905152,0
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/Pubmedfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9739449181356908,0.964350054924936,0.9835397813464456,0
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,5,4,20,8,1,0,log/ogbn-arxivfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9181070773362392,0.9324989592452692,0.9037151954272094,1
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,5,4,256,8,1,0,log/Corafinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.90757101902528,0.8602658326817826,0.9548762053687778,1
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,5,4,256,8,1,0,log/Citeseerfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8890777463015423,0.7991774210471093,0.9789780715559752,1
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,5,4,20,8,1,0,log/ogbn-arxivfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9155812610070015,0.9313266735234036,0.8998358484905996,2
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,5,4,256,8,1,0,log/Corafinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9048397185301018,0.8573833724263747,0.9522960646338284,2
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/Pubmedfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.97494245959094,0.967618001429792,0.982266917752088,1
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,5,4,256,8,1,0,log/Citeseerfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8745755954254537,0.7739418738852167,0.9752093169656908,2
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,5,4,20,8,1,0,log/ogbn-arxivfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9176133279867108,0.9312119476602404,0.9040147083131816,3
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,5,4,256,8,1,0,log/Corafinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8895725827469376,0.833880635913474,0.9452645295804012,3
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/ACMfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.86569848044275,-1.0,-1.0,0
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/Pubmedfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9741874596781224,0.967014175864414,0.9813607434918312,2
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,5,4,20,8,1,0,log/ogbn-arxivfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9167796089619183,0.9299988561901438,0.9035603617336936,4
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,5,4,256,8,1,0,log/Corafinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9053609590826164,0.8559812353401095,0.9547406828251236,4
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,5,4,256,8,1,0,log/Citeseerfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8848830133249397,0.7938096736963591,0.97595635295352,3
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/Pubmedfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9737702917124376,0.9647052361772246,0.9828353472476504,3
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,5,4,256,8,1,0,log/Citeseerfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8853362711153081,0.793398384219914,0.977274158010702,4
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/Pubmedfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.9744740283517288,0.9657010339837144,0.9832470227197432,4
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/ACMfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8649101448156837,-1.0,-1.0,1
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/ACMfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8667491377282543,-1.0,-1.0,2
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/ACMfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8665216095373746,-1.0,-1.0,3
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,5,4,256,8,1,0,log/ACMfinal_cola,pseudo,scorelossfixbatch,infonce,True,False,True,0.8721720686688093,-1.0,-1.0,4
