dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8621475110763617,0.7884440969507428,0.9358509252019808
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8191858147098939,0.6912517049627532,0.947119924457035
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9721530574880995,0.959663127059685,0.984642987916514
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.1,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9193377468476356,0.9311951384509896,0.9074803552442816
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8624185561636695,0.7844096950742768,0.9404274172530622
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8230217186024551,0.6977735809463854,0.9482698562585248
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9708100992136144,0.9587255671217592,0.98289463130547
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.2,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9199779768136171,0.9340772056347686,0.9058787479924656
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8844774563461038,0.8204482668751628,0.9485066458170446
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.3,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9105066781761896,0.9259461286985056,0.8950672276538736
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8254055188332808,0.6927289896128423,0.9580820480537192
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.3,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8894996090695857,0.8289601250977326,0.9500390930414386
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9751058830709144,0.9675736255688654,0.982638140572963
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.5,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8998681185195162,0.917485693703842,0.8822505433351903
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.5,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8962105811832162,0.8422152723481887,0.9502058900182436
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.3,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8413954464379394,0.703397335012066,0.9793935578638128
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.6,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8948352225072393,0.911317906695318,0.8783525383191607
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.3,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9712732123241096,0.9635036006346882,0.9790428240135308
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.1,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8633449659493202,-1.0,-1.0
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9023768569194682,0.8495908261662756,0.955162887672661
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,0.8,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8848379437747562,0.9014605860061344,0.8682153015433781
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.5,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8652775154758158,0.74659951736439,0.9839555135872416
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.8,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9019676830857442,0.8566901224915299,0.9472452436799584
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,1.0,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8740771362511197,0.8919544322887013,0.8561998402135383
